source_title,source_url,source_category,proposed_wp_slug,existing_wp_post_id,property_type,transaction_candidate,city,postal_code,available_sf,building_sf,lot_acres,suite_count,image_count,has_brochure,redirect_required,warning_count,warnings,review_decision,review_notes
"Shops at Almeda - 10900 Gulf Freeway, Houston, TX 77034",https://www.aspirecre.com/properties/1shops-at-almeda-10900-gulf-freeway-houston-tx-77034,Retail,1shops-at-almeda-10900-gulf-freeway-houston-tx-77034,,Retail,For Lease,Houston,77034,4400,,1.91,2,15,True,False,1,featured_image_low_confidence,,
"21510 Aldine Westfield Road - 21510 Aldine Westfield Road, Humble, TX 77338",https://www.aspirecre.com/properties/21510-aldine-westfield-road-humble-tx-77338,Land,21510-aldine-westfield-road-humble-tx-77338,,Land,,Humble,77338,,,0.64,0,3,True,False,3,structured_value_conflict; missing_transaction; featured_image_low_confidence,,
"21617 FM 1093 Richmond TX, 77407",https://www.aspirecre.com/properties/21617-fm-1093-richmond-tx-77407,Land,21617-fm-1093-richmond-tx-77407,122,Land,,Richmond,77407,,,2.21,0,15,True,False,3,missing_transaction; featured_image_low_confidence; existing_wp_pricing_review,,
"23400 Aldine Westfield Road - 23400 Aldine Westfield Road Spring, TX 77373",https://www.aspirecre.com/properties/23400-aldine-westfield-road-spring-tx-77373,Land,23400-aldine-westfield-road-spring-tx-77373,,Land,,Spring,77373,,,6.27,0,5,True,False,2,missing_transaction; featured_image_low_confidence,,
"2404 Smith Ranch Road Pearland, TX 77584",https://www.aspirecre.com/properties/2404-smith-ranch-road-pearland-tx-77584,Retail,2404-smith-ranch-road-pearland-tx-77584,,Retail,,Pearland,77584,,,,2,12,True,False,3,missing_transaction; featured_image_low_confidence; no_structured_highlights,,
"2539-2611 Preston Avenue Pasadena, TX 77503",https://www.aspirecre.com/properties/2539-preston-avenue-pasadena-tx-77503,Retail,2539-preston-avenue-pasadena-tx-77503,,Retail,,Pasadena,77503,,,,0,6,True,False,3,ambiguous_transaction; structured_value_conflict; featured_image_low_confidence,,
"Cypresswood Shopping Center - 25819 Cypresswood Drive, Spring, TX 77373",https://www.aspirecre.com/properties/25819-cypresswood-drive-spring-tx-77373,Retail,25819-cypresswood-drive-spring-tx-77373,,Retail,For Lease,Spring,77373,2800,,,2,8,True,False,1,featured_image_low_confidence,,
"333 Heights Boulevard - 333 Heights Boulevard Houston, TX 77007",https://www.aspirecre.com/properties/333-heights-boulevard-houston-tx-77007,Land,333-heights-boulevard-houston-tx-77007,,Land,,Houston,77007,,,0.17,0,4,True,False,2,missing_transaction; featured_image_low_confidence,,
"4095-4107 Woodson's Centre Drive, Spring, Texas 77386",https://www.aspirecre.com/properties/4095-4107-woodsons-centre-dr-spring-texas-77386,Retail,4095-4107-woodsons-centre-dr-spring-texas-77386,,Retail,For Lease,Spring,77386,,,,0,17,True,False,3,suite_parse_review; structured_value_review; featured_image_low_confidence,,
"4118 FM Road 2977 Richmond, TX 77469",https://www.aspirecre.com/properties/4118-fm-road-2977-richmond-tx-77469,Land,4118-fm-road-2977-richmond-tx-77469,,Land,,Richmond,77469,,,10,0,6,True,False,2,missing_transaction; featured_image_low_confidence,,
"4303 Sienna Parkway Missouri City, TX 77459",https://www.aspirecre.com/properties/4303-sienna-parkway-missouri-city-tx-77459,Retail,4303-sienna-parkway-missouri-city-tx-77459,,Retail,,Missouri City,77459,,,0.64,0,10,True,False,2,missing_transaction; featured_image_low_confidence,,
"520 Highway 6 Sugar Land, TX 77479",https://www.aspirecre.com/properties/520-highway-6-sugar-land-tx-77479,Retail,520-highway-6-sugar-land-tx-77479,,Retail,For Lease,Sugar Land,77479,,,1.18,0,5,True,False,1,featured_image_low_confidence,,
"5240 Barker Cypress Road Houston, TX 77084",https://www.aspirecre.com/properties/5240-barker-cypress-road-houston-tx-77084,Retail,5240-barker-cypress-road-houston-tx-77084,,Retail,For Lease,Houston,77084,2000,,,0,8,True,False,1,featured_image_low_confidence,,
"5530 Long Prairie Trace Richmond, TX 77407",https://www.aspirecre.com/properties/5530-long-prairie-trace-richmond-tx-77407,Retail,5530-long-prairie-trace-richmond-tx-77407,,Retail,,Richmond,77407,2884,,,2,6,True,False,2,missing_transaction; featured_image_low_confidence,,
"5601 East Parkway Street Groves, TX 77619",https://www.aspirecre.com/properties/5601-east-parkway-street-groves-tx-77619,Retail,5601-east-parkway-street-groves-tx-77619,,Retail,,Groves,77619,,,0.73,0,10,True,False,2,missing_transaction; featured_image_low_confidence,,
"Broadway Shopping Center - 5900 - 5940 Broadway Street Galveston, TX 77551",https://www.aspirecre.com/properties/5900-5940-broadway-street-galveston-tx-77551,Retail,5900-5940-broadway-street-galveston-tx-77551,,Retail,For Lease,Galveston,77551,11394,,4.94,2,4,True,False,1,featured_image_low_confidence,,
"The Offices at Westheimer - 5959 Westheimer Road Houston, TX 77057",https://www.aspirecre.com/properties/5959-westheimer-rd,Office,5959-westheimer-rd,,Office,,Houston,77057,,,,0,6,True,False,3,suite_parse_review; missing_transaction; featured_image_low_confidence,,
"603 Tori Road - 603 Tori Road Richmond, TX 77469",https://www.aspirecre.com/properties/603-tori-road-richmond-tx-77469,Land,603-tori-road-richmond-tx-77469,,Land,,Richmond,77469,,,3.31,0,4,True,False,2,missing_transaction; featured_image_low_confidence,,
"Greatwood Office Condos - 6544 Greatwood Pky, Sugar Land, TX 77479",https://www.aspirecre.com/properties/6544-greatwood-pky-sugar-land-tx-77479,Office Condos,6544-greatwood-pky-sugar-land-tx-77479,,Office Condo,,Sugar Land,77479,,,,0,22,True,False,2,missing_transaction; featured_image_low_confidence,,
"7395 Mchard Road Houston, TX 77053",https://www.aspirecre.com/properties/7395-mchard-road-houston-tx-77053,Retail,7395-mchard-road-houston-tx-77053,,Retail,For Lease,Houston,77053,4800,,,5,4,True,False,1,featured_image_low_confidence,,
"747 N Eldridge Parkway, Houston, TX 77079",https://www.aspirecre.com/properties/747-n-eldridge-pkwy-houston-tx-77079,Retail,747-n-eldridge-pkwy-houston-tx-77079,,Retail,,Houston,77079,,,0.46,0,8,True,False,3,structured_value_conflict; missing_transaction; featured_image_low_confidence,,
"Atascocita Retail Center - 7506 E FM-1960 Humble, TX 77346",https://www.aspirecre.com/properties/7506-e-fm-1960-humble-texas-77346,Retail,7506-e-fm-1960-humble-texas-77346,119,Retail,For Lease,Humble,77346,,,5.49,1,5,True,False,1,featured_image_low_confidence,,
"Seven-Seventy Post Oak - 770 Post Oak Lane Houston, TX 77056",https://www.aspirecre.com/properties/770-post-oak-770-post-oak-lane,Office,770-post-oak-770-post-oak-lane,,Office,,Houston,77056,,,,0,8,True,False,4,suite_parse_review; structured_value_review; missing_transaction; featured_image_low_confidence,,
"7919 Grand Mission Boulevard, Richmond, Texas 77407",https://www.aspirecre.com/properties/7919-grand-mission-boulevard-richmond-texas-77407,Retail,7919-grand-mission-boulevard-richmond-texas-77407,,Retail,,Richmond,77407,2705,,,2,10,True,False,2,missing_transaction; featured_image_low_confidence,,
"8401 W Monroe Rd – 8401 W Monroe Road, Houston, TX 77061",https://www.aspirecre.com/properties/8401-w-monroe-road-houston-tx-77061,Industrial,8401-w-monroe-road-houston-tx-77061,,Industrial / Flex,,Houston,77061,,,,0,15,True,False,2,missing_transaction; featured_image_low_confidence,,
"912 Prairie Street Houston, TX 77002",https://www.aspirecre.com/properties/912-prairie-street-houston-tx-77002,Office,912-prairie-street-houston-tx-77002,,Office,,Houston,77002,1250,,,0,20,True,False,4,suite_parse_review; missing_transaction; featured_image_low_confidence; no_structured_highlights,,
"9424 West Little York Road, Houston, Texas 77040",https://www.aspirecre.com/properties/9424-west-little-york-road-houston-texas-77040,Industrial,9424-west-little-york-road-houston-texas-77040,,Industrial / Flex,,Houston,77040,,,1.95,0,7,True,False,2,missing_transaction; featured_image_low_confidence,,
"9630 Huffmeister - 9630 Huffmeister Road Houston, TX 77095",https://www.aspirecre.com/properties/9630-huffmeister-9630-huffmeister-road-houston-tx-77095,Office,9630-huffmeister-9630-huffmeister-road-houston-tx-77095,,Office,For Sale or Lease,Houston,77095,3080,,,0,10,True,False,1,featured_image_low_confidence,,
"Aldine Square - Aldine Westfield Road and Aldine Mail Route Houston, TX 77039",https://www.aspirecre.com/properties/aldine-square-aldine-westfield-road-and-aldine-mail-route-houston-tx-77039,Land,aldine-square-aldine-westfield-road-and-aldine-mail-route-houston-tx-77039,,Land,,,77039,,,10,0,3,True,False,3,ambiguous_address; missing_transaction; featured_image_low_confidence,,
"Barker Cypress Plaza - 1855 Barker Cypress Road Houston, TX 77084",https://www.aspirecre.com/properties/barker-cypress-plaza-1855-barker-cypress-road-houston-texas-77084,Retail,barker-cypress-plaza-1855-barker-cypress-road-houston-texas-77084,,Retail,,Houston,77084,,,,1,7,True,False,2,missing_transaction; featured_image_low_confidence,,
"Barkers Point Plaza - 16000 Barkers Point Lane Houston, TX 77079",https://www.aspirecre.com/properties/barkers-point-plaza-16000-barkers-point-lane-houston-tx-77079,Office,barkers-point-plaza-16000-barkers-point-lane-houston-tx-77079,,Office,,Houston,77079,,,,0,11,True,False,2,missing_transaction; featured_image_low_confidence,,
"Berry Center - 25 Berry Road Houston, TX 77022",https://www.aspirecre.com/properties/berry-center-25-berry-road-houston-tx-77022,Retail,berry-center-25-berry-road-houston-tx-77022,,Retail,For Sale,Houston,77022,,,,0,3,True,False,1,featured_image_low_confidence,,
"Briar Hollow Plaza - 19 Briar Hollow Lane Houston, TX 77027",https://www.aspirecre.com/properties/briar-hollow-plaza-19-briar-hollow-lane-houston-tx-77027,Office,briar-hollow-plaza-19-briar-hollow-lane-houston-tx-77027,,Office,,Houston,77027,,,,0,5,True,False,2,missing_transaction; featured_image_low_confidence,,
"Centre at Pearland Parkway - 1849/1851/1853 Pearland Parkway Pearland, TX 77581",https://www.aspirecre.com/properties/centre-at-pearland-parkway-1849/1851/1853-pearland-parkway-pearland-tx-77581,Retail,centre-at-pearland-parkway-1849-1851-1853-pearland-parkway-pearland-tx-77581,,Retail,,Pearland,77581,6004,,,5,9,True,True,3,legacy_url_requires_redirect; missing_transaction; featured_image_low_confidence,,
"Chasewood Technology Park - 20333 -20445 State Highway 249 Houston, TX 77070",https://www.aspirecre.com/properties/chasewood-technology-park-20445-state-highway,Office,chasewood-technology-park-20445-state-highway,,Office,,Houston,77070,,,,0,17,True,False,4,suite_parse_review; structured_value_conflict; missing_transaction; featured_image_low_confidence,,
"Clodine Road Richmond, TX 77407",https://www.aspirecre.com/properties/clodine-road-richmond-tx-77407,Retail,clodine-road-richmond-tx-77407,,Retail,,,77407,,,1.82,0,9,True,False,3,ambiguous_address; missing_transaction; featured_image_low_confidence,,
"Crystal Beach Island - 1689 Highway 87 Crystal Beach, TX 77650",https://www.aspirecre.com/properties/crystal-beach-island-1689-highway-87-crystal-beach-tx-77650,Land,crystal-beach-island-1689-highway-87-crystal-beach-tx-77650,,Land,,Crystal Beach,77650,,,,0,5,True,False,3,structured_value_conflict; missing_transaction; featured_image_low_confidence,,
"Cypresswood Office Condo - 25819 Cypresswood Drive Spring, TX 77373",https://www.aspirecre.com/properties/cypresswood-office-condo-25819-cypresswood-drive-spring-tx-77373,Office Condos,cypresswood-office-condo-25819-cypresswood-drive-spring-tx-77373,,Office Condo,,Spring,77373,,,,0,8,True,False,2,missing_transaction; featured_image_low_confidence,,
"Firethorne Business Center - 28111 South Firethorne Road Katy, TX 77494",https://www.aspirecre.com/properties/firethorne-business-center-28111-south-firethorne-road-katy-tx-77494,Office Condos,firethorne-business-center-28111-south-firethorne-road-katy-tx-77494,,Office Condo,For Sale or Lease,Katy,77494,,,,0,6,True,False,1,featured_image_low_confidence,,
"FM 2218 Road & Airport Avenue, Rosenberg, TX 77471",https://www.aspirecre.com/properties/fm-2218-road-airport-avenue-rosenberg-tx-77471,Land,fm-2218-road-airport-avenue-rosenberg-tx-77471,,Land,,,77471,,,3.41,0,6,True,False,3,ambiguous_address; missing_transaction; featured_image_low_confidence,,
"Glenn Lakes Professional Building - 3634 Glenn Lakes Lane Missouri City, TX 77459",https://www.aspirecre.com/properties/glen-lakes-professional-building,Office,glen-lakes-professional-building,,Office,,Missouri City,77459,15000,,,0,8,True,False,2,missing_transaction; featured_image_low_confidence,,
"Grand Central Office Center - 350 Grand Link Drive Conroe, TX 77304",https://www.aspirecre.com/properties/grand-central-office-center-350-grand-link-drive-conroe-tx-77304,Office Condos,grand-central-office-center-350-grand-link-drive-conroe-tx-77304,,Office Condo,For Sale or Lease,Conroe,77304,,,,0,4,True,False,1,featured_image_low_confidence,,
"Grand Meadows 1.3 Acres - 5151 Meadow Ranch Parkway Richmond, TX 77407",https://www.aspirecre.com/properties/grand-meadows-13-acres-5151-meadow-ranch-parkway-richmond-tx-77407,Land,grand-meadows-13-acres-5151-meadow-ranch-parkway-richmond-tx-77407,,Land,,Richmond,77407,,,,0,8,True,False,2,missing_transaction; featured_image_low_confidence,,
"Grand Meadows Office Condos - 5151 Meadow Ranch Parkway Richmond, TX 77407",https://www.aspirecre.com/properties/grand-meadows-office-condos-5151-meadow-ranch-parkway-richmond-texas-77407,Office Condos,grand-meadows-office-condos-5151-meadow-ranch-parkway-richmond-texas-77407,,Office Condo,,Richmond,77407,,,,0,6,True,False,2,missing_transaction; featured_image_low_confidence,,
"Grand Mission Land - Grand Mission Boulevard Richmond, TX 77407",https://www.aspirecre.com/properties/grand-mission-land-grand-mission-boulevard-richmond-tx-77407,Land,grand-mission-land-grand-mission-boulevard-richmond-tx-77407,,Land,,,77407,,,21.6,0,14,True,False,3,ambiguous_address; missing_transaction; featured_image_low_confidence,,
"Grand Oaks Business Park - First Oaks Street, Richmond, TX 77406",https://www.aspirecre.com/properties/grand-oaks-business-park-first-oaks-street-richmond-tx-77406,Retail,grand-oaks-business-park-first-oaks-street-richmond-tx-77406,,Retail,,,77406,,,,0,16,True,False,4,ambiguous_address; suite_parse_review; missing_transaction; featured_image_low_confidence,,
Grand Parkway Times Square - 400 W Grand Parkway S,https://www.aspirecre.com/properties/grand-parkway-times-square-400-w-grand-parkway-s-katy-texas-77494,Retail,grand-parkway-times-square-400-w-grand-parkway-s-katy-texas-77494,,Retail,For Lease,,,2093,,1.2,2,3,True,False,3,missing_address; missing_or_malformed_postal_code; featured_image_low_confidence,,
"Church’s Chicken - 6962 TC Jester Blvd, Houston TX 77091",https://www.aspirecre.com/properties/grand-parkway-times-square-400-w-grand-parkway-s-katy-texas-77494-5b9kh-4h3pa-dz958-3fsjl-856bn-8f5bb-yd56n-zma9t-acpy8,Land,grand-parkway-times-square-400-w-grand-parkway-s-katy-texas-77494-5b9kh-4h3pa-dz958-3fsjl-856bn-8f5bb-yd56n-zma9t-acpy8,,Land,,Houston,77091,,,0.82,0,3,True,False,2,missing_transaction; featured_image_low_confidence,,
"Grand Reserve Office Condos - 23410 Grand Reserve Drive Katy, TX 77494",https://www.aspirecre.com/properties/grand-reserve-office-condos-23410-grand-reserve-drive-katy-tx-77494,Office Condos,grand-reserve-office-condos-23410-grand-reserve-drive-katy-tx-77494,,Office Condo,For Lease,Katy,77494,,,,0,4,True,False,1,featured_image_low_confidence,,
"Grand Ridge Office Condos - 440 Cobia Drive Katy, TX 77494",https://www.aspirecre.com/properties/grand-ridge-office-condos-440-cobia-drive-katy-tx-77494,Office Condos,grand-ridge-office-condos-440-cobia-drive-katy-tx-77494,,Office Condo,For Sale or Lease,Katy,77494,,,,0,4,True,False,1,featured_image_low_confidence,,
"Hedwig Plaza - 9601 Katy Freeway Houston, TX 77024",https://www.aspirecre.com/properties/hedwig-plaza-9601-katy-freeway-houston-tx-77024,Office,hedwig-plaza-9601-katy-freeway-houston-tx-77024,,Office,,Houston,77024,,,,0,6,True,False,2,missing_transaction; featured_image_low_confidence,,
"James Place Business Park - 8466 North Sam Houston Parkway West Houston, TX 77064",https://www.aspirecre.com/properties/james-place-business-park-8466-north-sam-houston-parkway-west-houston-tx-77064,Industrial,james-place-business-park-8466-north-sam-houston-parkway-west-houston-tx-77064,,Industrial / Flex,,West Houston,77064,,,,0,8,True,False,2,missing_transaction; featured_image_low_confidence,,
"Katy Mills Office Condos - 25145 Star Lane Katy, TX 77494",https://www.aspirecre.com/properties/katy-mills-office-condos-25145-star-lane-katy-tx-77494,Office Condos,katy-mills-office-condos-25145-star-lane-katy-tx-77494,,Office Condo,For Lease,Katy,77494,,,,0,3,True,False,1,featured_image_low_confidence,,
"Kingsley Ridge Office Condos - 3129 Kingsley Drive Pearland, TX 77584",https://www.aspirecre.com/properties/kingsley-ridge-office-condos-3129-kingsley-drive-pearland-tx-77584,Office Condos,kingsley-ridge-office-condos-3129-kingsley-drive-pearland-tx-77584,,Office Condo,For Lease,Pearland,77584,,,,0,5,True,False,1,featured_image_low_confidence,,
"l - 32 Pad Site - Cotulla, Texas - Sec of l - 35 and Mars Drive Cotulla, TX 78014",https://www.aspirecre.com/properties/l-32-pad-site-cotulla-texas-sec-of-l-35-and-mars-drive-cotulla-tx-78014,Land,l-32-pad-site-cotulla-texas-sec-of-l-35-and-mars-drive-cotulla-tx-78014,,Land,,Cotulla,78014,,,1.47,0,2,True,False,2,missing_transaction; featured_image_low_confidence,,
"Magnolia Office Park - 31300-31368 Nichols Sawmill Road Magnolia, TX 77355",https://www.aspirecre.com/properties/magnolia-office-park-building-12-31348-nichols-sawmill-road-magnolia-tx-77355-yj4n2,Office Condos,magnolia-office-park-building-12-31348-nichols-sawmill-road-magnolia-tx-77355-yj4n2,,Office Condo,,Magnolia,77355,,,,0,4,True,False,3,structured_value_review; missing_transaction; featured_image_low_confidence,,
"NEC Aldine Bender Rd & JFK Blvd. Houston, Texas 77032",https://www.aspirecre.com/properties/nec-aldine-bender-rd-jfk-blvd-houston-texas-77032,Land,nec-aldine-bender-rd-jfk-blvd-houston-texas-77032,,Land,,,77032,,,,0,5,True,False,5,ambiguous_address; structured_value_conflict; ambiguous_transaction; structured_value_review; featured_image_low_confidence,,
"Nitya Tower - 2211 Norfolk Street Houston, TX 77098",https://www.aspirecre.com/properties/nitya-tower-2211-norfolk-street,Office,nitya-tower-2211-norfolk-street,,Office,,Houston,77098,,,,0,13,True,False,2,missing_transaction; featured_image_low_confidence,,
"One Westchase Center - 10777 Westheimer Road Houston, TX 77042",https://www.aspirecre.com/properties/one-westchase-center-10777-westheimer-rd,Office,one-westchase-center-10777-westheimer-rd,,Office,,Houston,77042,,,,0,8,True,False,3,structured_value_review; missing_transaction; featured_image_low_confidence,,
"Park Central Plaza - 1111 North Loop West Houston, TX 77008",https://www.aspirecre.com/properties/park-central-plaza-1111-north-loop-west,Office,park-central-plaza-1111-north-loop-west,,Office,,West Houston,77008,,,,0,13,True,False,2,missing_transaction; featured_image_low_confidence,,
"Parkway Ridge Office Condos - 633 East Fernhurst Drive Katy, TX 77450",https://www.aspirecre.com/properties/parkway-ridge-office-condos-633-east-fernhurst-drive-katy-tx-77450,Office Condos,parkway-ridge-office-condos-633-east-fernhurst-drive-katy-tx-77450,,Office Condo,For Sale or Lease,Katy,77450,,,,0,4,True,False,1,featured_image_low_confidence,,
"Shepherd Land - 124.35 Acres In Shepherd, TX 77371",https://www.aspirecre.com/properties/sheperd-land-12435-acres-in-shepherd-tx-77371,Land,sheperd-land-12435-acres-in-shepherd-tx-77371,,Land,,,77371,,,124.35,0,4,True,False,3,ambiguous_address; missing_transaction; featured_image_low_confidence,,
"Sienna Park Office Condos - 6110 Sienna Ranch Road, Missouri City, TX 77459",https://www.aspirecre.com/properties/sienna-park-office-condos-6110-sienna-ranch-road-missouri-city-tx-77459,Office Condos,sienna-park-office-condos-6110-sienna-ranch-road-missouri-city-tx-77459,,Office Condo,For Sale or Lease,Missouri City,77459,,,,0,8,True,False,1,featured_image_low_confidence,,
"Sierra Vista Office Condos - Meridiana Parkway, Iowa Colony, TX, 77583",https://www.aspirecre.com/properties/sierra-vista-office-condos-meridiana-parkway-iowa-colony-tx-77583,Office Condos,sierra-vista-office-condos-meridiana-parkway-iowa-colony-tx-77583,,Office Condo,,,77583,,,,0,6,True,False,3,ambiguous_address; missing_transaction; featured_image_low_confidence,,
"The Groves Office Condos - 13803 Madera Run Parkway Humble, TX 77346",https://www.aspirecre.com/properties/the-groves-office-condos-13803-madera-run-parkway-humble-tx-77346,Office Condos,the-groves-office-condos-13803-madera-run-parkway-humble-tx-77346,,Office Condo,For Sale or Lease,Humble,77346,,,,0,2,True,False,1,featured_image_low_confidence,,
"The Palm Office Condos - 1842 Snake Road Katy, TX 77449",https://www.aspirecre.com/properties/the-palm-office-condos-1842-snake-road-katy-tx-77449-7yxj5,Office Condos,the-palm-office-condos-1842-snake-road-katy-tx-77449-7yxj5,,Office Condo,,Katy,77449,,,,1,7,True,False,2,missing_transaction; featured_image_low_confidence,,
"The Westchester - 11451 Katy Freeway Houston, TX 77079",https://www.aspirecre.com/properties/the-westchester-11451-katy-freeway,Office,the-westchester-11451-katy-freeway,,Office,,Houston,77079,,,,0,5,True,False,2,missing_transaction; featured_image_low_confidence,,
"Washington Plaza - 4000 Washington Avenue, Houston, TX 77007",https://www.aspirecre.com/properties/washington-plaza-4000-washington-avenue-houston-texas,Office,washington-plaza-4000-washington-avenue-houston-texas,,Office,,Houston,77007,,,,0,8,True,False,2,missing_transaction; featured_image_low_confidence,,
"Woodforest Office Condos - 625 Regal Row Montgomery, TX 77316",https://www.aspirecre.com/properties/woodforest-office-condos-625-regal-row-montgomery-tx-77316,Office Condos,woodforest-office-condos-625-regal-row-montgomery-tx-77316,,Office Condo,For Sale or Lease,Montgomery,77316,,,,0,4,True,False,1,featured_image_low_confidence,,
