source_title,source_url,source_category,proposed_wp_slug,existing_wp_post_id,property_type,transaction_candidate,city,postal_code,available_sf,building_sf,lot_acres,suite_count,image_count,has_brochure,redirect_required,warning_count,warnings,transaction_v1,transaction_v2,transaction_confidence_v2,address_confidence_v2,brochure_text_status,broker_candidate_count,source_coordinates_found,featured_image_confidence_v2,decision_known_count,decision_unknown_count,decision_conflict_count,suite_count_v2,brochure_page_conflicts,review_decision,review_notes
"Sugarwell Plaza - 14248 Bellaire Boulevard Houston, TX 77083",https://www.aspirecre.com/properties/14248-bellaire-blvd-houston-tx-77083,Retail,14248-bellaire-blvd-houston-tx-77083,,Retail,,Houston,77083,,,,0,7,True,False,2,missing_transaction; featured_image_low_confidence,,For Lease,high,high_agreement,available,2,True,high,7,7,0,4,,,
"14602 Presidio Square Boulevard, Houston, TX 77083",https://www.aspirecre.com/properties/14602-presidio-square-boulevard-houston-tx-77083,Office,14602-presidio-square-boulevard-houston-tx-77083,121,Office,,Houston,77083,,,2.48,0,9,True,False,3,structured_value_review; missing_transaction; featured_image_low_confidence,,,,high_agreement,available,3,True,low,4,12,0,0,,,
"1475 Washington Boulevard Beaumont, TX 77705",https://www.aspirecre.com/properties/1475-washington-blvd-beaumont-tx-77705,Land,1475-washington-blvd-beaumont-tx-77705,,Land,,Beaumont,77705,,,0.48,0,2,True,False,2,missing_transaction; featured_image_low_confidence,,,,high_agreement,available,3,True,high,4,11,0,0,,,
"16803 Stuebner Airline Road Spring, TX 77379",https://www.aspirecre.com/properties/16803-stuebner-airline-road-spring-tx-77379,Retail,16803-stuebner-airline-road-spring-tx-77379,,Retail,For Lease,Spring,77379,,,,0,6,True,False,2,structured_value_conflict; featured_image_low_confidence,For Lease,For Lease,high,high_agreement,available,3,True,low,3,11,0,0,traffic_count_vpd,,
"16840 Clay Road Houston, TX 77084",https://www.aspirecre.com/properties/16840-clay-road-houston-tx-77084,Industrial,16840-clay-road-houston-tx-77084,120,Industrial / Flex,,Houston,77084,,,,0,5,True,False,2,missing_transaction; featured_image_low_confidence,,,,high_agreement,available,2,True,high,8,6,0,1,,,
"1700 Wirt Road Houston, TX 77055",https://www.aspirecre.com/properties/1700-wirt-road-houston-tx-77055,Office,1700-wirt-road-houston-tx-77055,,Office,,Houston,77055,,,,0,4,True,False,2,missing_transaction; featured_image_low_confidence,,,,high_agreement,available,3,True,low,2,14,0,0,,,
"NWQ of Longenbaugh & Greenhouse Road – 19520 Longenbaugh Road Cypress, Texas 77433",https://www.aspirecre.com/properties/19520-longenbaugh-road-cypress-texas-77433,Land,19520-longenbaugh-road-cypress-texas-77433,,Land,,Cypress,77433,,,,0,5,True,False,3,structured_value_conflict; ambiguous_transaction; featured_image_low_confidence,,,conflicting,high_agreement,available,3,True,low,4,10,1,0,lot_acres; sale_price; transaction_type,,
"19737 Lee Road Humble, TX 77338",https://www.aspirecre.com/properties/19737-lee-road-humble-tx-77338,Industrial,19737-lee-road-humble-tx-77338,,Industrial / Flex,For Lease,Humble,77338,,,,0,9,True,False,2,structured_value_review; featured_image_low_confidence,For Lease,For Lease,high_agreement,high_agreement,available,3,True,low,2,12,0,0,,,
"Shops at Almeda - 10900 Gulf Freeway, Houston, TX 77034",https://www.aspirecre.com/properties/1shops-at-almeda-10900-gulf-freeway-houston-tx-77034,Retail,1shops-at-almeda-10900-gulf-freeway-houston-tx-77034,,Retail,For Lease,Houston,77034,4400,,1.91,2,15,True,False,1,featured_image_low_confidence,For Lease,For Lease,high_agreement,high_agreement,available,2,True,low,5,9,0,2,,,
"21510 Aldine Westfield Road - 21510 Aldine Westfield Road, Humble, TX 77338",https://www.aspirecre.com/properties/21510-aldine-westfield-road-humble-tx-77338,Land,21510-aldine-westfield-road-humble-tx-77338,,Land,,Humble,77338,,,0.64,0,3,True,False,3,structured_value_conflict; missing_transaction; featured_image_low_confidence,,,,high_agreement,available,2,True,low,6,9,0,0,traffic_count_vpd,,
"21617 FM 1093 Richmond TX, 77407",https://www.aspirecre.com/properties/21617-fm-1093-richmond-tx-77407,Land,21617-fm-1093-richmond-tx-77407,122,Land,,Richmond,77407,,,2.21,0,15,True,False,3,missing_transaction; featured_image_low_confidence; existing_wp_pricing_review,,,,high,unavailable,0,True,high,4,11,0,0,,,
"23400 Aldine Westfield Road - 23400 Aldine Westfield Road Spring, TX 77373",https://www.aspirecre.com/properties/23400-aldine-westfield-road-spring-tx-77373,Land,23400-aldine-westfield-road-spring-tx-77373,,Land,,Spring,77373,,,6.27,0,5,True,False,2,missing_transaction; featured_image_low_confidence,,,,high_agreement,available,2,True,low,4,10,1,0,lot_acres,,
"2404 Smith Ranch Road Pearland, TX 77584",https://www.aspirecre.com/properties/2404-smith-ranch-road-pearland-tx-77584,Retail,2404-smith-ranch-road-pearland-tx-77584,,Retail,,Pearland,77584,,,,2,12,True,False,3,missing_transaction; featured_image_low_confidence; no_structured_highlights,,,,high_agreement,available,0,True,low,0,14,0,2,suite_fields,,
"2539-2611 Preston Avenue Pasadena, TX 77503",https://www.aspirecre.com/properties/2539-preston-avenue-pasadena-tx-77503,Retail,2539-preston-avenue-pasadena-tx-77503,,Retail,,Pasadena,77503,,,,0,6,True,False,3,ambiguous_transaction; structured_value_conflict; featured_image_low_confidence,,,conflicting,high,available,2,True,low,3,11,0,0,warehouse_sf; sale_price; transaction_type,,
"Cypresswood Shopping Center - 25819 Cypresswood Drive, Spring, TX 77373",https://www.aspirecre.com/properties/25819-cypresswood-drive-spring-tx-77373,Retail,25819-cypresswood-drive-spring-tx-77373,,Retail,For Lease,Spring,77373,2800,,,2,8,True,False,1,featured_image_low_confidence,For Lease,For Lease,high,high_agreement,available,3,True,high,5,9,0,5,available_sf; maximum_contiguous_sf; suite_fields; suite_inventory,,
"333 Heights Boulevard - 333 Heights Boulevard Houston, TX 77007",https://www.aspirecre.com/properties/333-heights-boulevard-houston-tx-77007,Land,333-heights-boulevard-houston-tx-77007,,Land,,Houston,77007,,,0.17,0,4,True,False,2,missing_transaction; featured_image_low_confidence,,,,high_agreement,available,3,True,high,5,10,0,0,,,
"4095-4107 Woodson's Centre Drive, Spring, Texas 77386",https://www.aspirecre.com/properties/4095-4107-woodsons-centre-dr-spring-texas-77386,Retail,4095-4107-woodsons-centre-dr-spring-texas-77386,,Retail,For Lease,Spring,77386,,,,0,17,True,False,3,suite_parse_review; structured_value_review; featured_image_low_confidence,For Lease,For Lease,high_agreement,high,available,3,True,low,2,12,0,0,minimum_available_sf; maximum_available_sf,,
"4118 FM Road 2977 Richmond, TX 77469",https://www.aspirecre.com/properties/4118-fm-road-2977-richmond-tx-77469,Land,4118-fm-road-2977-richmond-tx-77469,,Land,,Richmond,77469,,,10,0,6,True,False,2,missing_transaction; featured_image_low_confidence,,,,,available,2,True,low,5,10,0,0,address,,
"4303 Sienna Parkway Missouri City, TX 77459",https://www.aspirecre.com/properties/4303-sienna-parkway-missouri-city-tx-77459,Retail,4303-sienna-parkway-missouri-city-tx-77459,,Retail,,Missouri City,77459,,,0.64,0,10,True,False,2,missing_transaction; featured_image_low_confidence,,,,high,unavailable,0,True,low,7,7,0,0,,,
"520 Highway 6 Sugar Land, TX 77479",https://www.aspirecre.com/properties/520-highway-6-sugar-land-tx-77479,Retail,520-highway-6-sugar-land-tx-77479,,Retail,For Lease,Sugar Land,77479,,,1.18,0,5,True,False,1,featured_image_low_confidence,For Lease,For Lease,high,high,available,0,True,low,5,9,0,0,,,
"5240 Barker Cypress Road Houston, TX 77084",https://www.aspirecre.com/properties/5240-barker-cypress-road-houston-tx-77084,Retail,5240-barker-cypress-road-houston-tx-77084,,Retail,For Lease,Houston,77084,2000,,,0,8,True,False,1,featured_image_low_confidence,For Lease,For Lease,high,high_agreement,available,3,True,low,2,12,0,0,,,
"5530 Long Prairie Trace Richmond, TX 77407",https://www.aspirecre.com/properties/5530-long-prairie-trace-richmond-tx-77407,Retail,5530-long-prairie-trace-richmond-tx-77407,,Retail,,Richmond,77407,2884,,,2,6,True,False,2,missing_transaction; featured_image_low_confidence,,,,high_agreement,available,3,True,low,0,14,0,2,suite_fields,,
"5601 East Parkway Street Groves, TX 77619",https://www.aspirecre.com/properties/5601-east-parkway-street-groves-tx-77619,Retail,5601-east-parkway-street-groves-tx-77619,,Retail,,Groves,77619,,,0.73,0,10,True,False,2,missing_transaction; featured_image_low_confidence,,,,high_agreement,available,2,True,low,5,9,0,0,,,
"Broadway Shopping Center - 5900 - 5940 Broadway Street Galveston, TX 77551",https://www.aspirecre.com/properties/5900-5940-broadway-street-galveston-tx-77551,Retail,5900-5940-broadway-street-galveston-tx-77551,,Retail,For Lease,Galveston,77551,11394,,4.94,2,4,True,False,1,featured_image_low_confidence,For Lease,For Lease,high_agreement,high,available,2,True,low,9,5,0,2,lease_rate_min,,
"The Offices at Westheimer - 5959 Westheimer Road Houston, TX 77057",https://www.aspirecre.com/properties/5959-westheimer-rd,Office,5959-westheimer-rd,,Office,,Houston,77057,,,,0,6,True,False,3,suite_parse_review; missing_transaction; featured_image_low_confidence,,For Lease,high,high_agreement,available,2,True,low,7,9,0,0,,,
"603 Tori Road - 603 Tori Road Richmond, TX 77469",https://www.aspirecre.com/properties/603-tori-road-richmond-tx-77469,Land,603-tori-road-richmond-tx-77469,,Land,,Richmond,77469,,,3.31,0,4,True,False,2,missing_transaction; featured_image_low_confidence,,,,high_agreement,available,2,True,low,2,13,0,0,,,
"Greatwood Office Condos - 6544 Greatwood Pky, Sugar Land, TX 77479",https://www.aspirecre.com/properties/6544-greatwood-pky-sugar-land-tx-77479,Office Condos,6544-greatwood-pky-sugar-land-tx-77479,,Office Condo,,Sugar Land,77479,,,,0,22,True,False,2,missing_transaction; featured_image_low_confidence,,For Sale or Lease,high,high,available,0,True,high,7,9,0,0,,,
"7395 Mchard Road Houston, TX 77053",https://www.aspirecre.com/properties/7395-mchard-road-houston-tx-77053,Retail,7395-mchard-road-houston-tx-77053,,Retail,For Lease,Houston,77053,4800,,,5,4,True,False,1,featured_image_low_confidence,For Lease,For Lease,high_agreement,high_agreement,available,1,True,low,2,12,0,5,suite_inventory,,
"747 N Eldridge Parkway, Houston, TX 77079",https://www.aspirecre.com/properties/747-n-eldridge-pkwy-houston-tx-77079,Retail,747-n-eldridge-pkwy-houston-tx-77079,,Retail,,Houston,77079,,,0.46,0,8,True,False,3,structured_value_conflict; missing_transaction; featured_image_low_confidence,,,,high_agreement,available,3,True,low,5,9,0,0,traffic_count_vpd,,
"Atascocita Retail Center - 7506 E FM-1960 Humble, TX 77346",https://www.aspirecre.com/properties/7506-e-fm-1960-humble-texas-77346,Retail,7506-e-fm-1960-humble-texas-77346,119,Retail,For Lease,Humble,77346,,,5.49,1,5,True,False,1,featured_image_low_confidence,For Lease,For Lease,high_agreement,high_agreement,available,2,True,high,7,7,0,2,lease_rate_min; suite_inventory,,
"Seven-Seventy Post Oak - 770 Post Oak Lane Houston, TX 77056",https://www.aspirecre.com/properties/770-post-oak-770-post-oak-lane,Office,770-post-oak-770-post-oak-lane,,Office,,Houston,77056,,,,0,8,True,False,4,suite_parse_review; structured_value_review; missing_transaction; featured_image_low_confidence,,,,,available,3,True,high,6,10,0,0,address,,
"7919 Grand Mission Boulevard, Richmond, Texas 77407",https://www.aspirecre.com/properties/7919-grand-mission-boulevard-richmond-texas-77407,Retail,7919-grand-mission-boulevard-richmond-texas-77407,,Retail,,Richmond,77407,2705,,,2,10,True,False,2,missing_transaction; featured_image_low_confidence,,,,high_agreement,available,3,True,low,3,11,0,2,,,
"8401 W Monroe Rd – 8401 W Monroe Road, Houston, TX 77061",https://www.aspirecre.com/properties/8401-w-monroe-road-houston-tx-77061,Industrial,8401-w-monroe-road-houston-tx-77061,,Industrial / Flex,,Houston,77061,,,,0,15,True,False,2,missing_transaction; featured_image_low_confidence,,,,high,unavailable,0,True,high,5,9,0,0,,,
"912 Prairie Street Houston, TX 77002",https://www.aspirecre.com/properties/912-prairie-street-houston-tx-77002,Office,912-prairie-street-houston-tx-77002,,Office,,Houston,77002,1250,,,0,20,True,False,4,suite_parse_review; missing_transaction; featured_image_low_confidence; no_structured_highlights,,,,high_agreement,available,1,True,low,3,13,0,1,,,
"9424 West Little York Road, Houston, Texas 77040",https://www.aspirecre.com/properties/9424-west-little-york-road-houston-texas-77040,Industrial,9424-west-little-york-road-houston-texas-77040,,Industrial / Flex,,Houston,77040,,,1.95,0,7,True,False,2,missing_transaction; featured_image_low_confidence,,,,high_agreement,available,3,True,low,3,11,0,0,,,
"9630 Huffmeister - 9630 Huffmeister Road Houston, TX 77095",https://www.aspirecre.com/properties/9630-huffmeister-9630-huffmeister-road-houston-tx-77095,Office,9630-huffmeister-9630-huffmeister-road-houston-tx-77095,,Office,For Sale or Lease,Houston,77095,3080,,,0,10,True,False,1,featured_image_low_confidence,For Sale or Lease,,conflicting,high_agreement,available,3,True,high,3,13,0,0,available_sf; transaction_type,,
"Aldine Square - Aldine Westfield Road and Aldine Mail Route Houston, TX 77039",https://www.aspirecre.com/properties/aldine-square-aldine-westfield-road-and-aldine-mail-route-houston-tx-77039,Land,aldine-square-aldine-westfield-road-and-aldine-mail-route-houston-tx-77039,,Land,,,77039,,,10,0,3,True,False,3,ambiguous_address; missing_transaction; featured_image_low_confidence,,,,,available,2,True,low,4,11,0,0,,,
"Barker Cypress Plaza - 1855 Barker Cypress Road Houston, TX 77084",https://www.aspirecre.com/properties/barker-cypress-plaza-1855-barker-cypress-road-houston-texas-77084,Retail,barker-cypress-plaza-1855-barker-cypress-road-houston-texas-77084,,Retail,,Houston,77084,,,,1,7,True,False,2,missing_transaction; featured_image_low_confidence,,,,high_agreement,available,3,True,low,1,13,0,1,,,
"Barkers Point Plaza - 16000 Barkers Point Lane Houston, TX 77079",https://www.aspirecre.com/properties/barkers-point-plaza-16000-barkers-point-lane-houston-tx-77079,Office,barkers-point-plaza-16000-barkers-point-lane-houston-tx-77079,,Office,,Houston,77079,,,,0,11,True,False,2,missing_transaction; featured_image_low_confidence,,,,high_agreement,available,3,True,low,3,13,0,0,,,
"Berry Center - 25 Berry Road Houston, TX 77022",https://www.aspirecre.com/properties/berry-center-25-berry-road-houston-tx-77022,Retail,berry-center-25-berry-road-houston-tx-77022,,Retail,For Sale,Houston,77022,,,,0,3,True,False,1,featured_image_low_confidence,For Sale,For Sale,high_agreement,high_agreement,available,2,True,low,2,12,0,0,,,
"Briar Hollow Plaza - 19 Briar Hollow Lane Houston, TX 77027",https://www.aspirecre.com/properties/briar-hollow-plaza-19-briar-hollow-lane-houston-tx-77027,Office,briar-hollow-plaza-19-briar-hollow-lane-houston-tx-77027,,Office,,Houston,77027,,,,0,5,True,False,2,missing_transaction; featured_image_low_confidence,,,,high_agreement,available,3,True,high,3,13,0,0,,,
"Centre at Pearland Parkway - 1849/1851/1853 Pearland Parkway Pearland, TX 77581",https://www.aspirecre.com/properties/centre-at-pearland-parkway-1849/1851/1853-pearland-parkway-pearland-tx-77581,Retail,centre-at-pearland-parkway-1849-1851-1853-pearland-parkway-pearland-tx-77581,,Retail,,Pearland,77581,6004,,,5,9,True,True,3,legacy_url_requires_redirect; missing_transaction; featured_image_low_confidence,,,,,available,2,True,low,2,12,0,6,available_sf; address; suite_fields; suite_inventory,,
"Chasewood Technology Park - 20333 -20445 State Highway 249 Houston, TX 77070",https://www.aspirecre.com/properties/chasewood-technology-park-20445-state-highway,Office,chasewood-technology-park-20445-state-highway,,Office,,Houston,77070,,,,0,17,True,False,4,suite_parse_review; structured_value_conflict; missing_transaction; featured_image_low_confidence,,,,high,available,3,True,high,6,9,1,0,building_sf,,
"Clodine Road Richmond, TX 77407",https://www.aspirecre.com/properties/clodine-road-richmond-tx-77407,Retail,clodine-road-richmond-tx-77407,,Retail,,,77407,,,1.82,0,9,True,False,3,ambiguous_address; missing_transaction; featured_image_low_confidence,,,,,unavailable,0,True,high,2,12,0,0,,,
"Crystal Beach Island - 1689 Highway 87 Crystal Beach, TX 77650",https://www.aspirecre.com/properties/crystal-beach-island-1689-highway-87-crystal-beach-tx-77650,Land,crystal-beach-island-1689-highway-87-crystal-beach-tx-77650,,Land,,Crystal Beach,77650,,,,0,5,True,False,3,structured_value_conflict; missing_transaction; featured_image_low_confidence,,,,high_agreement,available,3,True,low,3,11,1,0,lot_acres,,
"Cypresswood Office Condo - 25819 Cypresswood Drive Spring, TX 77373",https://www.aspirecre.com/properties/cypresswood-office-condo-25819-cypresswood-drive-spring-tx-77373,Office Condos,cypresswood-office-condo-25819-cypresswood-drive-spring-tx-77373,,Office Condo,,Spring,77373,,,,0,8,True,False,2,missing_transaction; featured_image_low_confidence,,,,high_agreement,available,1,True,low,2,14,0,0,,,
"Firethorne Business Center - 28111 South Firethorne Road Katy, TX 77494",https://www.aspirecre.com/properties/firethorne-business-center-28111-south-firethorne-road-katy-tx-77494,Office Condos,firethorne-business-center-28111-south-firethorne-road-katy-tx-77494,,Office Condo,For Sale or Lease,Katy,77494,,,,0,6,True,False,1,featured_image_low_confidence,For Sale or Lease,For Sale or Lease,high_agreement,high_agreement,available,3,True,low,4,12,0,0,,,
"FM 2218 Road & Airport Avenue, Rosenberg, TX 77471",https://www.aspirecre.com/properties/fm-2218-road-airport-avenue-rosenberg-tx-77471,Land,fm-2218-road-airport-avenue-rosenberg-tx-77471,,Land,,,77471,,,3.41,0,6,True,False,3,ambiguous_address; missing_transaction; featured_image_low_confidence,,,,,available,3,True,high,6,9,0,0,,,
"Glenn Lakes Professional Building - 3634 Glenn Lakes Lane Missouri City, TX 77459",https://www.aspirecre.com/properties/glen-lakes-professional-building,Office,glen-lakes-professional-building,,Office,,Missouri City,77459,15000,,,0,8,True,False,2,missing_transaction; featured_image_low_confidence,,For Lease,high,high_agreement,available,2,True,low,7,9,0,0,available_sf,,
"Grand Central Office Center - 350 Grand Link Drive Conroe, TX 77304",https://www.aspirecre.com/properties/grand-central-office-center-350-grand-link-drive-conroe-tx-77304,Office Condos,grand-central-office-center-350-grand-link-drive-conroe-tx-77304,,Office Condo,For Sale or Lease,Conroe,77304,,,,0,4,True,False,1,featured_image_low_confidence,For Sale or Lease,For Sale or Lease,high_agreement,high_agreement,available,1,True,high,4,12,0,0,,,
"Grand Meadows 1.3 Acres - 5151 Meadow Ranch Parkway Richmond, TX 77407",https://www.aspirecre.com/properties/grand-meadows-13-acres-5151-meadow-ranch-parkway-richmond-tx-77407,Land,grand-meadows-13-acres-5151-meadow-ranch-parkway-richmond-tx-77407,,Land,,Richmond,77407,,,,0,8,True,False,2,missing_transaction; featured_image_low_confidence,,,,high_agreement,available,2,True,low,4,11,0,0,,,
"Grand Meadows Office Condos - 5151 Meadow Ranch Parkway Richmond, TX 77407",https://www.aspirecre.com/properties/grand-meadows-office-condos-5151-meadow-ranch-parkway-richmond-texas-77407,Office Condos,grand-meadows-office-condos-5151-meadow-ranch-parkway-richmond-texas-77407,,Office Condo,,Richmond,77407,,,,0,6,True,False,2,missing_transaction; featured_image_low_confidence,,,,high_agreement,available,1,True,high,4,12,0,0,,,
"Grand Mission Land - Grand Mission Boulevard Richmond, TX 77407",https://www.aspirecre.com/properties/grand-mission-land-grand-mission-boulevard-richmond-tx-77407,Land,grand-mission-land-grand-mission-boulevard-richmond-tx-77407,,Land,,,77407,,,21.6,0,14,True,False,3,ambiguous_address; missing_transaction; featured_image_low_confidence,,,,,available,3,True,low,4,10,1,0,lot_acres,,
"Grand Oaks Business Park - First Oaks Street, Richmond, TX 77406",https://www.aspirecre.com/properties/grand-oaks-business-park-first-oaks-street-richmond-tx-77406,Retail,grand-oaks-business-park-first-oaks-street-richmond-tx-77406,,Retail,,,77406,,,,0,16,True,False,4,ambiguous_address; suite_parse_review; missing_transaction; featured_image_low_confidence,,For Lease,high,high,available,2,True,low,6,8,0,2,,,
Grand Parkway Times Square - 400 W Grand Parkway S,https://www.aspirecre.com/properties/grand-parkway-times-square-400-w-grand-parkway-s-katy-texas-77494,Retail,grand-parkway-times-square-400-w-grand-parkway-s-katy-texas-77494,,Retail,For Lease,,,2093,,1.2,2,3,True,False,3,missing_address; missing_or_malformed_postal_code; featured_image_low_confidence,For Lease,For Lease,high_agreement,high,available,2,True,high,5,9,0,2,lease_rate_min,,
"Church’s Chicken - 6962 TC Jester Blvd, Houston TX 77091",https://www.aspirecre.com/properties/grand-parkway-times-square-400-w-grand-parkway-s-katy-texas-77494-5b9kh-4h3pa-dz958-3fsjl-856bn-8f5bb-yd56n-zma9t-acpy8,Land,grand-parkway-times-square-400-w-grand-parkway-s-katy-texas-77494-5b9kh-4h3pa-dz958-3fsjl-856bn-8f5bb-yd56n-zma9t-acpy8,,Land,,Houston,77091,,,0.82,0,3,True,False,2,missing_transaction; featured_image_low_confidence,,,,high_agreement,available,2,True,low,2,13,0,0,,,
"Grand Reserve Office Condos - 23410 Grand Reserve Drive Katy, TX 77494",https://www.aspirecre.com/properties/grand-reserve-office-condos-23410-grand-reserve-drive-katy-tx-77494,Office Condos,grand-reserve-office-condos-23410-grand-reserve-drive-katy-tx-77494,,Office Condo,For Lease,Katy,77494,,,,0,4,True,False,1,featured_image_low_confidence,For Lease,,subject_mismatch,,available,3,True,low,0,13,3,0,transaction_type; brochure_subject; address,,
"Grand Ridge Office Condos - 440 Cobia Drive Katy, TX 77494",https://www.aspirecre.com/properties/grand-ridge-office-condos-440-cobia-drive-katy-tx-77494,Office Condos,grand-ridge-office-condos-440-cobia-drive-katy-tx-77494,,Office Condo,For Sale or Lease,Katy,77494,,,,0,4,True,False,1,featured_image_low_confidence,For Sale or Lease,,conflicting,high_agreement,available,3,True,high,3,13,0,0,transaction_type,,
"Hedwig Plaza - 9601 Katy Freeway Houston, TX 77024",https://www.aspirecre.com/properties/hedwig-plaza-9601-katy-freeway-houston-tx-77024,Office,hedwig-plaza-9601-katy-freeway-houston-tx-77024,,Office,,Houston,77024,,,,0,6,True,False,2,missing_transaction; featured_image_low_confidence,,,,high_agreement,available,3,True,high,3,13,0,0,,,
"James Place Business Park - 8466 North Sam Houston Parkway West Houston, TX 77064",https://www.aspirecre.com/properties/james-place-business-park-8466-north-sam-houston-parkway-west-houston-tx-77064,Industrial,james-place-business-park-8466-north-sam-houston-parkway-west-houston-tx-77064,,Industrial / Flex,,West Houston,77064,,,,0,8,True,False,2,missing_transaction; featured_image_low_confidence,,,,,available,3,True,low,5,9,0,0,address,,
"Katy Mills Office Condos - 25145 Star Lane Katy, TX 77494",https://www.aspirecre.com/properties/katy-mills-office-condos-25145-star-lane-katy-tx-77494,Office Condos,katy-mills-office-condos-25145-star-lane-katy-tx-77494,,Office Condo,For Lease,Katy,77494,,,,0,3,True,False,1,featured_image_low_confidence,For Lease,For Lease,high_agreement,high_agreement,available,3,True,low,4,12,0,0,,,
"Kingsley Ridge Office Condos - 3129 Kingsley Drive Pearland, TX 77584",https://www.aspirecre.com/properties/kingsley-ridge-office-condos-3129-kingsley-drive-pearland-tx-77584,Office Condos,kingsley-ridge-office-condos-3129-kingsley-drive-pearland-tx-77584,,Office Condo,For Lease,Pearland,77584,,,,0,5,True,False,1,featured_image_low_confidence,For Lease,For Lease,high_agreement,high_agreement,available,1,True,high,5,11,0,0,,,
"l - 32 Pad Site - Cotulla, Texas - Sec of l - 35 and Mars Drive Cotulla, TX 78014",https://www.aspirecre.com/properties/l-32-pad-site-cotulla-texas-sec-of-l-35-and-mars-drive-cotulla-tx-78014,Land,l-32-pad-site-cotulla-texas-sec-of-l-35-and-mars-drive-cotulla-tx-78014,,Land,,Cotulla,78014,,,1.47,0,2,True,False,2,missing_transaction; featured_image_low_confidence,,,,high,available,2,True,low,5,10,0,0,traffic_count_vpd,,
